time,date,hour,temperature_2m,precipitation,cloud_cover,wind_speed_10m,is_holiday,is_vacation,has_event
2023-10-07 06:00:00,2023-10-07,6,10.1,0.0,0,7.9,0.0,0,0
2023-10-07 07:00:00,2023-10-07,7,10.0,0.0,0,7.6,0.0,0,0
2023-10-07 08:00:00,2023-10-07,8,12.7,0.0,0,8.6,0.0,0,0
2023-10-07 09:00:00,2023-10-07,9,15.7,0.0,0,6.5,0.0,0,0
2023-10-07 10:00:00,2023-10-07,10,18.4,0.0,0,4.3,0.0,0,0
2023-10-07 11:00:00,2023-10-07,11,20.5,0.0,0,5.4,0.0,0,0
2023-10-07 12:00:00,2023-10-07,12,22.0,0.0,0,6.7,0.0,0,0
2023-10-07 13:00:00,2023-10-07,13,22.5,0.0,0,6.3,0.0,0,0
2023-10-07 14:00:00,2023-10-07,14,23.4,0.0,0,6.2,0.0,0,0
2023-10-07 15:00:00,2023-10-07,15,23.9,0.0,0,7.4,0.0,0,0
2023-10-07 16:00:00,2023-10-07,16,23.9,0.0,0,7.4,0.0,0,0
2023-10-07 17:00:00,2023-10-07,17,23.0,0.0,0,4.1,0.0,0,0
2023-10-07 18:00:00,2023-10-07,18,19.5,0.0,0,8.5,0.0,0,0
2023-10-07 19:00:00,2023-10-07,19,17.1,0.0,0,7.9,0.0,0,0
2023-10-07 20:00:00,2023-10-07,20,15.9,0.0,0,6.1,0.0,0,0
2023-10-07 21:00:00,2023-10-07,21,15.0,0.0,0,6.4,0.0,0,0
2023-10-07 22:00:00,2023-10-07,22,14.3,0.0,0,6.9,0.0,0,0
2023-10-07 23:00:00,2023-10-07,23,14.4,0.0,0,7.6,0.0,0,0
2023-10-08 00:00:00,2023-10-08,0,13.3,0.0,0,9.6,0.0,0,0
2023-10-08 01:00:00,2023-10-08,1,14.0,0.0,0,6.1,0.0,0,0
2023-10-08 02:00:00,2023-10-08,2,14.6,0.0,0,3.6,0.0,0,0
2023-10-08 03:00:00,2023-10-08,3,13.3,0.0,0,2.6,0.0,0,0
2023-10-08 04:00:00,2023-10-08,4,12.4,0.0,0,2.9,0.0,0,0
2023-10-08 05:00:00,2023-10-08,5,13.7,0.0,0,1.1,0.0,0,0
2023-10-08 06:00:00,2023-10-08,6,13.2,0.0,0,4.7,0.0,0,0
2023-10-08 07:00:00,2023-10-08,7,10.6,0.0,0,7.2,0.0,0,0
2023-10-08 08:00:00,2023-10-08,8,13.0,0.0,0,5.4,0.0,0,0
2023-10-08 09:00:00,2023-10-08,9,16.0,0.0,0,4.7,0.0,0,0
2023-10-08 10:00:00,2023-10-08,10,18.9,0.0,0,3.4,0.0,0,0
2023-10-08 11:00:00,2023-10-08,11,21.1,0.0,1,4.9,0.0,0,0
2023-10-08 12:00:00,2023-10-08,12,22.8,0.0,9,5.8,0.0,0,0
2023-10-08 13:00:00,2023-10-08,13,24.4,0.0,38,6.3,0.0,0,0
2023-10-08 14:00:00,2023-10-08,14,25.3,0.0,72,6.6,0.0,0,0
2023-10-08 15:00:00,2023-10-08,15,25.7,0.0,19,6.6,0.0,0,0
2023-10-08 16:00:00,2023-10-08,16,25.6,0.0,72,7.3,0.0,0,0
2023-10-08 17:00:00,2023-10-08,17,24.1,0.0,86,6.2,0.0,0,0
2023-10-08 18:00:00,2023-10-08,18,20.4,0.0,42,7.6,0.0,0,0
2023-10-08 19:00:00,2023-10-08,19,18.1,0.0,34,9.0,0.0,0,0
2023-10-08 20:00:00,2023-10-08,20,16.3,0.0,69,11.4,0.0,0,0
2023-10-08 21:00:00,2023-10-08,21,16.3,0.0,9,7.9,0.0,0,0
2023-10-08 22:00:00,2023-10-08,22,14.6,0.0,3,9.7,0.0,0,0
2023-10-08 23:00:00,2023-10-08,23,13.7,0.0,0,10.0,0.0,0,0
2023-10-09 00:00:00,2023-10-09,0,13.5,0.0,4,8.9,0.0,0,0
2023-10-09 01:00:00,2023-10-09,1,12.9,0.0,11,8.3,0.0,0,0
2023-10-09 02:00:00,2023-10-09,2,12.5,0.0,8,7.8,0.0,0,0
2023-10-09 03:00:00,2023-10-09,3,11.8,0.0,1,8.6,0.0,0,0
2023-10-09 04:00:00,2023-10-09,4,11.9,0.0,3,8.4,0.0,0,0
2023-10-09 05:00:00,2023-10-09,5,11.9,0.0,13,7.4,0.0,0,0
2023-10-09 06:00:00,2023-10-09,6,11.6,0.0,0,6.6,0.0,0,0
2023-10-09 07:00:00,2023-10-09,7,11.0,0.0,10,6.6,0.0,0,0
2023-10-09 08:00:00,2023-10-09,8,12.5,0.0,17,4.2,0.0,0,0
2023-10-09 09:00:00,2023-10-09,9,15.1,0.0,17,1.8,0.0,0,0
2023-10-09 10:00:00,2023-10-09,10,17.9,0.0,18,1.1,0.0,0,0
2023-10-09 11:00:00,2023-10-09,11,20.5,0.0,30,1.5,0.0,0,0
2023-10-09 12:00:00,2023-10-09,12,22.6,0.0,57,0.8,0.0,0,0
2023-10-09 13:00:00,2023-10-09,13,23.2,0.0,98,1.5,0.0,0,0
2023-10-09 14:00:00,2023-10-09,14,24.4,0.0,100,2.9,0.0,0,0
2023-10-09 15:00:00,2023-10-09,15,24.6,0.0,100,2.9,0.0,0,0
2023-10-09 16:00:00,2023-10-09,16,24.5,0.0,98,3.8,0.0,0,0
2023-10-09 17:00:00,2023-10-09,17,23.4,0.0,33,3.2,0.0,0,0
2023-10-09 18:00:00,2023-10-09,18,23.5,0.0,90,4.1,0.0,0,0
2023-10-09 19:00:00,2023-10-09,19,18.1,0.0,4,9.3,0.0,0,0
2023-10-09 20:00:00,2023-10-09,20,16.2,0.0,17,7.8,0.0,0,0
